cleaned_text,kfold,target
fuck babe miss sooooo wish sleep bed lone sleep dream love,0,0
rightio arent bright earli morn,0,0
dunno aft toa payoh,0,0
like touch easiest way barcelona way hous,0,0
cool,0,0
want come beauti necklac token heart wife like dont wait till come,0,0
tri week end cours coimbator,0,0
good thing connect,0,0
lol forget bring babe,0,0
lor,0,0
plan come chennai,0,0
finish watch day live love,0,0
que pase buen tiempo like,0,0
chang,0,0
shhhhh suppos know,0,0
job profil like bpo,0,0
okmail dear dave final notic collect tenerif holiday cash award landlin sae box cwwx ppm,0,1
come home class right need work shower,0,0
lor msg,0,0
fool dont cheat,0,0
great new offer doubl min doubl txt best orang tariff latest camera phone free mobileupd free stoptxt,0,1
motiv dark shin light wait find best friend trust love bslvyl,0,0
oop shower hey park garag collaps univers hospit crazi stuff like happen,0,0
squeez buck dad,0,0
yar lor noe dat rout,0,0
want thing,0,0
lol mad wake,0,0
watch new job,0,0
headin busetop,0,0
come mahal stop decim,0,0
actual guy meet sunoco howard right way,0,0
wana plan trip sometm,0,0
gon abl late notic home week plan,0,0
sorri text drive coher,0,0
sorri later,0,0
great day beauti,0,0
wnt buy bmw car urgent vri urgent shortag lac sourc arng amt lac prob,0,0
want funk fone weekli new tone repli tonesu text www rington origin best tone gbp network oper rat appli,0,1
free rington text poli text true tone help free tone xapspw eapsnd txt stop,0,1
convey regard,0,0
finish work,0,0
sday join train start today,0,0
batteri low babe,0,0
think car,0,0
anytim,0,0
wen lovabl bcum angri wid dnt coz angri childish true way deep affect care luv kettoda manda nice day,0,0
come today tell fool like,0,0
leav dessert wan suntec look,0,0
damn job hunt,0,0
way pick,0,0
shitload diamond,0,0
soon real thing princess wet,0,0
honeybe sweetest world god laugh wait havnt meet person read msg moral god crack joke,0,0
late need laptop,0,0
come hill monster hope great day thing fine busi,0,0
scream mean shout,0,0
hey want buy,0,0
rememb bead come,0,0
intrepid duo great time soon,0,0
imagin life fast search worri disturb goodnoon,0,0
nope come onlin,0,0
dont want hear,0,0
alright new goal,0,0
wish thing differ wonder abl valu continu brisk walk drug askin find thing laugh love dearli,0,0
find enc,0,0
tell reach,0,0
brother transfer,0,0
explicitli tell nora know probabl gon bother,0,0
prabha soryda reali frm heart sori,0,0
freez home rememb kiss mom morn love think miss,0,0
meet work tel shall work tomorrow,0,0
lol awesom payback,0,0
idea know anyplac,0,0
sun post hello cool want stop send stop,0,1
wot weirdo,0,0
finish lunch way home lor tot dun wan stay sch today,0,0
derek taylor walmart time leav mous desk text priscilla readi,0,0
yun wkg btw wana specialis wad,0,0
donat unicef asian tsunami disast support fund text donat add bill,0,1
fan,0,0
kiss feel,0,0
come hostel,0,0
tri,0,0
dont msg repli msg,0,0
wrong sorri,0,0
thank send mental abil question,0,0
trip tire lor uni start today modul concentr final project,0,0
peopl tour think sofa thing send curiou sugar,0,0
honeybe sweetest world god laugh wait havnt meet person read msg moral god crack joke,0,0
lol real tell dad cancer,0,0
skint fanci bevi waz gona meet othr spoon jst bin watchng planet earth sofa comfey dont hav night,0,0
girl stay bed girl need recoveri time pass fun coop bed,0,0
fine miss,0,0
send,0,0
mum repent,0,0
chanc search hard let tri,0,0
sport type lyk footbl crckt,0,0
troubl sleep,0,0
lol snatch purs,0,0
ahhh work vagu rememb feel like lol,0,0
great hope like man endow inch,0,0
today sunday sunday holiday work,0,0
happi sad thing past good morn,0,0
pain catch,0,0
chanc win cash txt action www movietrivia custcar,0,1
easi sen select mean good,0,0
gentleman treat digniti respect,0,0
wot dust,0,0
come nyc audiit tri reloc,0,0
great hope connect mode men know old friend lead today,0,0
thank meet monday,0,0
hey dont watch men lunch haha,0,0
armand ass epsilon,0,0
oop let know roommat,0,0
hey forget happi day babe love,0,0
freephon,0,1
thursday night yeah sure thing work,0,0
drug abl eat,0,0
good morn dear great success day,0,0
piggi awak bet sleep lunch,0,0
mean door,0,0
post coupl pic snow outsid wake,0,0
book ticket pongal,0,0
send email soon,0,0
yay better tell girl,0,0
turn phone mom tell cancer sister stop hurt talk home love,0,0
samu shoulder,0,0
dont want hear philosophi happen,0,0
nah think usf live,0,0
thi increas chanc win,0,0
today system readi deep,0,0
yeah like like friend imma flip shit like half hour,0,0
alter,0,0
plan wil pick,0,0
hello love interview today happi good boy think miss,0,0
like think possibl pub later,0,0
love,0,0
sorri man account dri want trade half buy shit credit card,0,0
chill sleep pain surgic emerg unfold okay,0,0
surf onlin store offer want buy thing,0,0
xma stori peac xma msg love xma miracl jesu hav bless month ahead wish merri xma,0,0
send like,0,0
love work home,0,0
shop dun disturb liao,0,0
pain urin thing,0,0
ffffffffff alright way meet sooner,0,0
good morn dear great success day,0,0
cours guess god hold right,0,0
hey tell blake address carlo want meet lose answer phone,0,0
darren consid mah ask,0,0
landlin number ask come anna nagar afternoon,0,0
super good replac murali,0,0
adult content video shortli,0,1
today vodafon number end digit select receiv award number match claim award,0,1
shb lor thanx,0,0
tell stop dont let dehydr,0,0
wat peopl dearer happi dat feel meet pain feel miss dem,0,0
time dhoni rock,0,0
maaaan miss,0,0
friendship poem dear dear near hear dont fear live cheer tear dear gud,0,0
guess want time watch,0,0
free entri weekli competit text word win www txttowin,0,1
come home dinner,0,0
tri contact offer new video phone anytim network min half price rental camcord repli deliveri wed,0,1
pic msg phone,0,0
know serv mean,0,0
sound like manki scous boy steve like travel home wot inmind recreat eve,0,0
open rebtel firefox load plu sign user place number lower number number pick number pin display okay,0,0
let pool money buy bunch lotto ticket win deal,0,0
today sunday sunday holiday work,0,0
lol member aunt flow visit month caus develop ovarian cyst way shrink,0,0
want new nokia colour phone deliveredtomorrow free minut mobil free text free camcord repli,0,1
clarifi open return ticket prepon kerala,0,0
way home long dri spell season,0,0
sir send group mail check,0,0
check,0,0
glad repli,0,0
ure practic lesson start june,0,0
textin bout,0,0
hey bill brison book languag word,0,0
free entri wkli comp win cup final tkt text receiv entri question std txt rate appli,0,1
sec break cstore,0,0
nope watch home bore,0,0
yesterday true true,0,0
plan manag,0,0
thank honey great day,0,0
cool tyler gon buy drop place later tonight total order quarter,0,0
remind download content pay goto http doit mymobi collect content,0,1
hey gal wan meet dinner niat,0,0
collect car lei,0,0
feb love day send valu frnd evn come marri person luv ignor lose luv evr,0,0
loverboy come queen hmmm ach speak miss despar,0,0
enter cabin happi day boss felt special askd lunch lunch invit apart,0,0
gosh pain spose better come,0,0
break accommodationvouch term condit appli claim mustprovid claim number,0,1
sorri stil fuck nite tobe work,0,0
caus mutat sunscreen like essenti theseday,0,0
rip mobil content www clubmobi com poli true pix rington game download,0,1
hey book lesson sun liao,0,0
hmm night night,0,0
gud mrng dear nice day,0,0
actual decid hungri leav,0,0
winner special select receiv holiday flight inc speak live oper claim min,0,1
asleep,0,0
great attract brotha,0,0
wonder text,0,0
want pretti pussi,0,0
sorri pain meet night spend late afternoon casualti mean stuffmoro includ time sheet sorri,0,0
bank money,0,0
yar lor rain non stop wan,0,0
new year plan,0,0
sorri later,0,0
know friend tell,0,0
readi moan scream,0,0
free week nokia tone mobil week txt nokia txting tell mat www getz pobox wwq normp tone,0,1
sleep thinkthi time danger,0,0
kiss kiss sound effect gorgeou man kind person need smile brighten day,0,0
come hme,0,0
money chanc gang want grand natur adventur,0,0
today class,0,0
thk dun haf hint forum lor tell ron darren tell shuhui,0,0
playng door game race phone lol,0,0
don know wait check,0,0
hello thing didn plan limp slowli home follow exhaust hang,0,0
login dat time dad fetch home,0,0
burger king wan play footi stadium burger king sept larg super coca cola walk winner,0,1
happi new year dont mean intrud let know tuition pay semest semest thank,0,0
hey mail,0,0
money issu weigh thank breath easier sure dont regret thank,0,0
sorri send blank msg yup tri studi,0,0
contact date servic know find land line poboxwtgp,0,1
huh cant hous hand right,0,0
meh thgt clash dun mind dun lose weight gee,0,0
decemb mobil mth entitl updat latest colour camera mobil free mobil updat vco free,0,1
wat,0,0
look addi monday suck,0,0
eat,0,0
order slipper pay return,0,0
come,0,0
meet later,0,0
sound good post,0,0
hey plan sit,0,0
mobil mth updat latest orang camera video phone free save apss free text weekend text callback orno opt,0,1
thank love torch bold,0,0
messag,0,0
think send text home phone cant display text want send number,0,0
congratul award suppli virgin record mysteri gift guarante www smsco net approx min,0,1
grand prix,0,0
amaz rearrang letter mean dormitori dirti room astronom moon starer eye elect result lie let recount mother law woman hitler plu twelv plu amaz,0,0
vote heart guid,0,0
daili text favour time,0,0
new mobil txt nokia collect today www biz optout gbp mtmsg txtauction,0,1
thank fill complet calm reassur,0,0
lunch,0,0
car hour half apeshit,0,0
sale arsen dartboard good condit doubl trebl,0,1
yeah pretti best case scenario,0,0
ugh long day exhaust want cuddl nap,0,0
thank,0,0
cool text head,0,0
urgent mobil number award prize guarante land line claim valid ppm,0,1
secret admir reveal think special opt repli reveal stop msg recd cust care,0,1
juz rememb bath dog today,0,0
oki wan meet bishan bishan drive today,0,0
movi theatr watch unlimit movi pay,0,0
plan usual stop find hella weed smoke hella weed,0,0
happi new year famili new year bring happi stabil tranquil vibrant colour life,0,0
clair havin borin time wan cum nite chat hope luv clair callsap minmoremobsemspoboxpowa,0,1
job,0,0
uav bin award play instant cash claim player win min optout,0,1
chikku wat abt,0,0
beauti truth graviti read care heart feel light feel heavi leav good night,0,0
nationwid auto centr like newport road like,0,0
chat,0,0
mean come chase state watch movi want,0,0
awesom gon soon later tonight,0,0
doesnt need test,0,0
shit babe thasa bite mess yeh shudvetold urgran know neway illspeak umoro wen asleep,0,0
send email mind time night,0,0
hmm bad news hype park plaza studio leav bedrm,0,0
think secur lem know want drive south chill,0,0
send,0,0
mean middl leav right,0,0
ill mrw ninish address icki american freek wont stop callin bad jen,0,0
height recycl read twice peopl spend time earn money money spend spend time good morn smile,0,0
sorri flake night shit goin roommat tonight,0,0
ask princess,0,0
outbid simonwatson shinco dvd plyr bid visit smsreward end bid notif repli end,0,1
dorothi kiefer com bank granit issu strong buy explos pick member nasdaq symbol cdgt,0,1
thank like,0,0
tell dear happen talk like alian,0,0
pizza want,0,0
like mittelschmertz googl dont paracetamol dont worri,0,0
thnx dude guy nite,0,0
want anytim network min text new video phone pound week repli deliveri tomorrow,0,1
fear faint housework quick cuppa,0,0
free polyphon tone nation rate toppoli tune send week text subpoli pole unsub,0,1
taka lor wat time wan come look,0,0
leav soon littl,0,0
worri easi ingredi,0,0
wan doctor,0,0
time come tomorrow,0,0
cheer lou yeah goodnit shame neva come gailxx,0,0
creepi crazi,0,0
yup thanx print hand,0,0
sure acknowledg astoundingli tactless gener faggi demand blood oath,0,0
yeah sure leav min,0,0
wkend journey terribl good huge log mark,0,0
plan stay night prolli til late,0,0
valentin game send msg friend answer love que colour suit best rpli,0,0
dear train seat lower seat,0,0
nope,0,0
buy blackberri bold torch buy new let know plu buy wifi ipad,0,0
mark forev pick prescript pain come,0,0
want kiss feel,0,0
great run ttyl,0,0
hmmm mayb tri shoppin area forget hotel,0,0
know adsens approv,0,0
worri understand import place poorli think punish face worst thing happen brb gon kill,0,0
record night,0,0
guarante latest nokia phone ipod player prize txt word collect ibhltd ldnwh mtmsgrcvd,0,1
tell want post chennai work,0,0
sorri sir tomorrow senthil hsbc,0,0
tell coulda real valentin pick,0,0
frnd best way avoid missunderstd wit belov,0,0
thk fast suggest dun wan rain leh,0,0
alfi moon children need song mob tell txt tone chariti nokia poli chariti poli zed profit chariti,0,1
later,0,0
bruce fletcher,0,0
come room,0,0
usual ard smth,0,0
sorri hope space want rememb furnitur lock lock leav key jenn,0,0
ceri rebel sweet dreamz littl buddi moro need bloke,0,0
want come,0,0
sad stori man week day wife wish parent forget kid work colleagu wish,0,0
look car buy drive test,0,0
freemsg today day readi horni live town love sex fun game netcollex ltd msg repli stop end,0,1
dont thnk wrong,0,0
awesom minut,0,0
dear voucher holder claim week offer http www tlp expressoff appli stop text txt stop,0,1
think girl propos today bloodi funki shit fuck face asssssholeee,0,0
come room come hous hous messi haha,0,0
win guarante award cashto claim award free stop getstop php,0,1
like,0,0
come later normal bath afternoon mah,0,0
hope good week check,0,0
touch folk wait compani txt age opt enjoy commun,0,1
come look flat away alot wiv work woman come,0,0
onlin shop ask,0,0
love soooo good hear omg miss today sorri problem provid thank tming,0,0
sad stori man week day wife wish parent forget kid work colleagu wish,0,0
mayb find instead,0,0
